"surveyID","bdod_0.5cm_mean","cec_0.5cm_mean","cfvo_0.5cm_mean","clay_0.5cm_mean","nitrogen_0.5cm_mean","ocd_0.5cm_mean","phh2o_0.5cm_mean","sand_0.5cm_mean","silt_0.5cm_mean","soc_0.5cm_mean","Water","Mangroves","Grassland","Buildings","Herb Wetland","Tree cover","Cropland","Bare","Shrubland","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Lat","Long","b1","Year","NPP_y","Npp_QC","Yearly_NDVI","Yearly_leaf_area_index_high_vegetation","Yearly_leaf_area_index_low_vegetation","Herb.Wetland.2","Tree.cover.2","Herb.Wetland.1","Tree.cover.1","Herb.Wetland","Tree.cover","col.names"
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2012,0.78515,26,4315.47727272727,0,1.58400004736618,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2013,0.79225,25.5,4370.5,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2014,0.88485,29,4658.5,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2015,0.6335,22,3594.34090909091,0,1.5504636585804,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2016,0.73425,25.5,4004.43181818182,0,1.56762154866408,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2017,0.6726,31,3582.88636363636,0,1.58394694568691,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2018,0.75,29,3873.30434782609,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2019,0.79855,28.5,4333.38636363636,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2020,0.8887,21,4697.40909090909,0,1.55821579632184,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2021,0.6615,27.5,3652,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
